GCIF,Area,Jalur_Pembukaan,Vintage,Usia,Jenis_Kelamin,Status_Perkawinan,Jumlah_Anak,Pendidikan,Produk_Tabungan,Produk_Deposito,Produk_Kartu_Kredit,Produk_Kredit_Rumah,Produk_Kredit_Kendaraan,Produk_Kredit_Dana_Tunai,Total_Kepemilikan_Produk,Pendapatan_Tahunan,Total_Relationship_Balance
G06429,Jakarta,Telemarketing,< 1 Tahun,50,Perempuan,Cerai,4,Sarjana,1,1,1,1,0,0,4,337,308852489
G06719,Bogor,Internet Banking,< 1 Tahun,59,Laki-laki,Cerai,0,Sarjana,1,1,0,1,0,1,4,456,112579092
G08081,Jakarta,Internet Banking,< 1 Tahun,52,Laki-laki,Cerai,2,Sarjana,1,0,1,1,0,1,4,449,36695263
G10011,Bogor,Cabang,< 1 Tahun,51,Laki-laki,Cerai,3,Sarjana,1,0,0,1,1,1,4,370,228675923
G12419,Solo,Aplikasi Digital,< 1 Tahun,59,Perempuan,Cerai,1,Sarjana,1,0,1,1,0,1,4,370,143213584
G12602,Bandung,Aplikasi Digital,< 1 Tahun,58,Laki-laki,Cerai,2,Sarjana,1,1,1,1,0,0,4,80,369575179
G19674,Solo,Aplikasi Digital,< 1 Tahun,53,Laki-laki,Cerai,4,Sarjana,1,1,1,1,0,0,4,182,122141529
G21653,Jakarta,Telemarketing,< 1 Tahun,45,Laki-laki,Cerai,4,Sarjana,1,1,1,1,0,0,4,179,381739701
G22124,Jogja,Internet Banking,< 1 Tahun,50,Laki-laki,Cerai,4,Sarjana,1,0,1,1,0,1,4,179,136193374
G24367,Jakarta,Telemarketing,< 1 Tahun,44,Laki-laki,Cerai,4,Sarjana,1,1,1,1,0,0,4,238,48945817
G25696,Jakarta,Telemarketing,< 1 Tahun,44,Laki-laki,Cerai,4,Sarjana,1,1,0,1,0,1,4,364,103808973
G00200,Jakarta,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,1,0,0,1,1,4,337,335018604
G00999,Bandung,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,1,0,1,4,275,197836691
G01000,Bandung,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,1,0,1,1,0,4,121,116230161
G02211,Bandung,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,0,1,0,4,315,437327488
G02726,Jakarta,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,1,0,1,0,1,4,496,165215115
G03070,Solo,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,1,1,0,0,1,4,247,308605258
G03708,Surabaya,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,3,Sarjana,1,0,1,1,1,0,4,264,149542508
G00090,Bandung,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,0,1,1,0,1,4,267,55600689
G00281,Bandung,Aplikasi Digital,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,222,31338628
G00037,Jakarta,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,0,0,1,1,1,4,492,229537740
G00660,Bogor,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,0,1,4,153,260621282
G00681,Solo,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,0,1,1,1,0,4,323,341716866
G00907,Bandung,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,1,Sarjana,1,1,1,1,0,0,4,133,124014988
G06180,Bogor,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,1,0,0,4,483,156922153
G06920,Surabaya,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,0,1,1,4,171,114029777
G07166,Bandung,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,2,Sarjana,1,0,0,1,1,1,4,450,261591551
G07097,Jogja,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,1,0,0,4,157,423301144
G08207,Bandung,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,2,Sarjana,1,0,1,1,0,1,4,144,379757988
G09102,Jakarta,Aplikasi Digital,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,282,31276520
G10032,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,0,1,4,85,145835774
G10828,Jogja,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,0,1,1,1,0,4,299,445030075
G11088,Jogja,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,1,0,0,4,123,105910640
G12007,Surabaya,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,129,322206821
G12999,Jakarta,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,1,0,1,4,129,240197585
G13020,Jakarta,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,195,383708472
G13370,Solo,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,0,1,0,4,276,70453907
G10037,Solo,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,0,1,0,1,4,296,269948038
G10738,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,0,1,4,481,357783848
G10030,Bandung,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,3,Sarjana,1,1,1,1,0,0,4,465,270439910
G16020,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,0,1,4,119,255172917
G16676,Surabaya,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,0,1,1,4,363,104898016
G17096,Solo,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,1,0,0,4,320,79685902
G18100,Solo,Aplikasi Digital,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,479,332408521
G18006,Jakarta,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,3,Sarjana,1,0,1,1,0,1,4,184,253684138
G19001,Bandung,Aplikasi Digital,< 1 Tahun,,Perempuan,Janda/Duda,2,Sarjana,1,1,1,1,0,0,4,269,309756251
G20108,Bandung,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,0,1,1,0,4,431,418626256
G20320,Jakarta,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,1,0,1,0,1,4,121,313179530
G20009,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,1,0,1,4,171,24077257
G20610,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,1,0,4,268,298327210
G21160,Jogja,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,1,0,1,4,388,205496980
G22110,Bandung,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,1,Sarjana,1,0,1,1,1,0,4,124,337127576
G22201,Surabaya,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,1,0,0,4,298,95837281
G22708,Surabaya,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,1,0,1,0,1,4,226,202543577
G22827,Bandung,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,0,1,1,0,1,4,110,339124266
G23010,Jogja,Aplikasi Digital,< 1 Tahun,,Perempuan,Janda/Duda,2,Sarjana,1,1,0,1,0,1,4,363,213520326
G20200,Surabaya,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,0,1,1,0,1,4,411,381311447
G20002,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,246,97317582
G20173,Jogja,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,1,Sarjana,1,1,0,1,0,1,4,143,427912760
G20218,Bandung,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,0,1,1,0,1,4,137,184794374
G20333,Surabaya,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,1,0,0,4,183,439270628
G26731,Solo,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,0,1,0,1,4,199,333028576
G26807,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,0,1,1,4,175,421881762
G10755,Bandung,Aplikasi Digital,< 1 Tahun,26,Laki-laki,Menikah,1,Sarjana,1,1,0,1,1,1,5,275,421284533
G11621,Bogor,Internet Banking,< 1 Tahun,33,Perempuan,Menikah,1,Sarjana,1,1,0,1,1,1,5,124,789180436
G07995,Surabaya,Cabang,< 1 Tahun,30,Perempuan,Menikah,4,Sarjana,1,1,1,1,0,1,5,429,274750720
G03783,Jakarta,Telemarketing,< 1 Tahun,34,Laki-laki,Menikah,0,Sarjana,1,1,1,1,0,1,5,105,557478125
G01542,Bogor,Cabang,< 1 Tahun,29,Laki-laki,Menikah,3,Sarjana,1,1,1,1,1,0,5,431,53226260
G06011,Surabaya,Telemarketing,< 1 Tahun,25,Laki-laki,Menikah,2,Sarjana,1,1,1,1,0,1,5,456,85011437
G04661,Jakarta,Telemarketing,< 1 Tahun,33,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,374,359536711
G03135,Solo,Telemarketing,< 1 Tahun,32,Laki-laki,Menikah,0,Sarjana,1,1,1,1,0,1,5,467,448384182
G05922,Bogor,Telemarketing,< 1 Tahun,26,Laki-laki,Menikah,2,Sarjana,1,1,0,1,1,1,5,267,717058646
G09948,Jakarta,Telemarketing,< 1 Tahun,27,Laki-laki,Menikah,0,Sarjana,1,1,0,1,1,1,5,404,75022661
G04882,Jakarta,Telemarketing,< 1 Tahun,31,Perempuan,Menikah,0,Sarjana,1,1,1,0,1,1,5,361,767797358
G08070,Solo,Internet Banking,< 1 Tahun,29,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,290,545553265
G02212,Bandung,Aplikasi Digital,< 1 Tahun,26,Perempuan,Menikah,2,Sarjana,1,1,0,1,1,1,5,313,316614484
G02783,Solo,Internet Banking,< 1 Tahun,31,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,349,101214266
G11084,Jogja,Cabang,< 1 Tahun,29,Laki-laki,Menikah,1,Sarjana,1,1,1,1,0,1,5,102,167497101
G05275,Surabaya,Telemarketing,< 1 Tahun,32,Laki-laki,Menikah,0,Sarjana,1,1,1,1,0,1,5,326,246377034
G09244,Jakarta,Cabang,< 1 Tahun,28,Perempuan,Menikah,1,Sarjana,1,1,0,1,1,1,5,496,417668544
G15433,Bandung,Internet Banking,< 1 Tahun,43,Perempuan,Menikah,4,Sarjana,1,1,1,0,1,1,5,470,246164453
G18728,Surabaya,Internet Banking,< 1 Tahun,39,Laki-laki,Menikah,3,Sarjana,1,0,1,1,1,1,5,316,827860823
G26770,Surabaya,Telemarketing,< 1 Tahun,27,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,113,391970316
G09856,Surabaya,Cabang,< 1 Tahun,27,Perempuan,Menikah,0,Sarjana,1,1,1,1,0,1,5,477,219699171
G02682,Bogor,Cabang,< 1 Tahun,26,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,248,810244100
G14645,Jogja,Internet Banking,< 1 Tahun,43,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,343,795036878
G01677,Jakarta,Telemarketing,< 1 Tahun,40,Perempuan,Cerai,4,Sarjana,1,1,1,0,1,1,5,533,839988381
G10066,Bandung,Cabang,< 1 Tahun,25,Perempuan,Menikah,2,Sarjana,1,1,1,1,0,1,5,398,797087684
G02182,Solo,Telemarketing,< 1 Tahun,41,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,1,1,1,5,433,208873760
G16877,Bandung,Internet Banking,< 1 Tahun,49,Laki-laki,Belum Menikah,0,Sarjana,1,0,1,1,1,1,5,452,397085965
G03449,Bandung,Aplikasi Digital,< 1 Tahun,47,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,600,810652212
G00019,Surabaya,Cabang,< 1 Tahun,29,Laki-laki,Menikah,0,Sarjana,1,1,0,1,1,1,5,445,614438109
G11415,Jogja,Cabang,< 1 Tahun,56,Perempuan,Cerai,2,Sarjana,1,1,1,1,0,1,5,300,794564409
G17223,Jakarta,Cabang,< 1 Tahun,43,Laki-laki,Menikah,3,Sarjana,1,1,0,1,1,1,5,318,827537621
G25244,Surabaya,Telemarketing,< 1 Tahun,49,Laki-laki,Cerai,2,Sarjana,1,1,0,1,1,1,5,367,284563772
G16411,Bandung,Aplikasi Digital,< 1 Tahun,47,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,1,1,1,5,591,165214529
G19414,Jakarta,Aplikasi Digital,< 1 Tahun,53,Laki-laki,Menikah,2,Sarjana,1,1,1,1,0,1,5,598,471040082
G22014,Jogja,Aplikasi Digital,< 1 Tahun,52,Laki-laki,Menikah,4,Sarjana,1,1,0,1,1,1,5,820,229723550
G13905,Solo,Telemarketing,< 1 Tahun,53,Perempuan,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,501,718109663
G01923,Bandung,Telemarketing,< 1 Tahun,26,Laki-laki,Menikah,1,Sarjana,1,1,1,0,1,1,5,200,443655772
G20952,Surabaya,Internet Banking,< 1 Tahun,51,Laki-laki,Menikah,0,Sarjana,1,1,1,1,0,1,5,465,149009057
G09102,Bandung,Aplikasi Digital,< 1 Tahun,25,Laki-laki,Menikah,4,Sarjana,1,1,1,1,0,1,5,469,291313818
G02712,Solo,Aplikasi Digital,< 1 Tahun,30,Perempuan,Menikah,4,Sarjana,1,1,1,1,0,1,5,489,591743870
G01424,Bandung,Aplikasi Digital,< 1 Tahun,22,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,343,325112380
G14453,Solo,Internet Banking,< 1 Tahun,25,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,1,1,1,5,477,225912872
G09845,Jakarta,Telemarketing,< 1 Tahun,46,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,541,812972347
G03977,Surabaya,Cabang,< 1 Tahun,34,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,213,595041504
G05064,Jakarta,Telemarketing,< 1 Tahun,27,Laki-laki,Menikah,4,Sarjana,1,1,1,1,0,1,5,394,768551581
G02587,Solo,Aplikasi Digital,< 1 Tahun,30,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,417,436835279
G16763,Bandung,Internet Banking,< 1 Tahun,40,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,468,307466314
G00690,Surabaya,Cabang,< 1 Tahun,33,Perempuan,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,279,548694210
G19195,Bandung,Internet Banking,< 1 Tahun,50,Laki-laki,Cerai,0,Sarjana,1,1,1,1,1,0,5,440,519098846
G19994,Solo,Cabang,< 1 Tahun,50,Perempuan,Menikah,4,Sarjana,1,1,1,0,1,1,5,654,413534269
G05657,Solo,Telemarketing,< 1 Tahun,27,Laki-laki,Menikah,1,Sarjana,1,0,1,1,1,1,5,382,377618140
G13699,Jakarta,Telemarketing,< 1 Tahun,48,Laki-laki,Menikah,1,Sarjana,1,1,1,1,0,1,5,337,475749226
G13943,Bandung,Internet Banking,< 1 Tahun,47,Laki-laki,Menikah,1,Sarjana,1,1,1,1,0,1,5,595,253479162
G26161,Surabaya,Telemarketing,< 1 Tahun,70,Laki-laki,Menikah,0,Sarjana,0,1,1,1,1,1,5,809,228471165
G19595,Solo,Internet Banking,< 1 Tahun,29,Laki-laki,Belum Menikah,0,Sarjana,1,0,1,1,1,1,5,318,315425487
G21472,Jakarta,Telemarketing,< 1 Tahun,55,Perempuan,Menikah,4,Sarjana,1,1,1,1,0,1,5,822,423157407
G21013,Surabaya,Cabang,< 1 Tahun,43,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,440,93897155
G04253,Bandung,Internet Banking,< 1 Tahun,31,Laki-laki,Menikah,2,Sarjana,1,1,1,1,0,1,5,191,51588765
G28022,Bogor,Aplikasi Digital,< 1 Tahun,44,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,436,222645077
G17361,Jakarta,Telemarketing,< 1 Tahun,42,Perempuan,Menikah,4,Sarjana,1,1,1,1,0,1,5,500,221436708
G10157,Bandung,Telemarketing,< 1 Tahun,27,Perempuan,Menikah,3,Sarjana,1,1,1,1,0,1,5,381,646775648
G16253,Surabaya,Telemarketing,< 1 Tahun,44,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,441,336617143
G12563,Jakarta,Telemarketing,< 1 Tahun,35,Perempuan,Menikah,3,Sarjana,1,1,1,1,0,1,5,446,253283936
G14684,Bandung,Aplikasi Digital,< 1 Tahun,42,Laki-laki,Menikah,2,Sarjana,1,1,1,1,0,1,5,568,617718513
G21847,Jakarta,Telemarketing,< 1 Tahun,52,Laki-laki,Menikah,4,Sarjana,1,1,0,1,1,1,5,636,582853455
G01260,Jogja,Telemarketing,< 1 Tahun,30,Laki-laki,Menikah,4,Sarjana,1,1,1,1,0,1,5,182,582565494
G18517,Surabaya,Aplikasi Digital,< 1 Tahun,49,Perempuan,Menikah,2,Sarjana,1,1,0,1,1,1,5,557,426440049
G02226,Jogja,Telemarketing,< 1 Tahun,30,Laki-laki,Menikah,4,Sarjana,1,1,1,1,0,1,5,236,709418151
G00025,Jogja,Cabang,< 1 Tahun,33,Laki-laki,Menikah,3,Sarjana,1,0,1,1,1,1,5,452,629201872
G00645,Bogor,Telemarketing,< 1 Tahun,28,Perempuan,Menikah,0,Sarjana,1,1,0,1,1,1,5,200,70386186
G02671,Bandung,Cabang,< 1 Tahun,31,Laki-laki,Menikah,0,Sarjana,1,1,1,1,0,1,5,406,251496054
G22083,Solo,Cabang,< 1 Tahun,37,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,375,343360100
G23011,Solo,Cabang,< 1 Tahun,43,Laki-laki,Cerai,0,Sarjana,1,1,1,0,1,1,5,314,464704429
G11755,Jakarta,Internet Banking,< 1 Tahun,40,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,523,718569855
G23725,Jakarta,Telemarketing,< 1 Tahun,38,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,337,498499939
G08031,Bandung,Aplikasi Digital,< 1 Tahun,30,Laki-laki,Menikah,2,Sarjana,1,1,1,1,0,1,5,110,677176396
G14217,Solo,Internet Banking,< 1 Tahun,36,Perempuan,Menikah,2,Sarjana,1,1,1,1,1,0,5,593,678324109
G23249,Bogor,Telemarketing,< 1 Tahun,59,Laki-laki,Cerai,0,Sarjana,1,1,1,1,0,1,5,348,249819236
G13326,Surabaya,Aplikasi Digital,< 1 Tahun,43,Laki-laki,Menikah,0,Sarjana,1,1,0,1,1,1,5,536,462384207
G17727,Jogja,Internet Banking,< 1 Tahun,44,Perempuan,Menikah,3,Sarjana,1,1,1,1,0,1,5,444,126607566
G14984,Jakarta,Telemarketing,< 1 Tahun,49,Laki-laki,Menikah,0,Sarjana,1,1,1,1,1,0,5,335,741453511
G17602,Bogor,Cabang,< 1 Tahun,40,Laki-laki,Menikah,3,Sarjana,1,1,0,1,1,1,5,487,409376765
G27267,Solo,Telemarketing,< 1 Tahun,51,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,378,733684007
G06625,Surabaya,Telemarketing,< 1 Tahun,36,Perempuan,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,370,693022574
G18793,Solo,Cabang,< 1 Tahun,49,Laki-laki,Menikah,2,Sarjana,1,1,0,1,1,1,5,365,399705153
G15106,Bandung,Internet Banking,< 1 Tahun,35,Laki-laki,Menikah,4,Sarjana,1,0,1,1,1,1,5,535,519079687
G17414,Jogja,Telemarketing,< 1 Tahun,36,Laki-laki,Menikah,3,Sarjana,1,1,0,1,1,1,5,383,195458566
G13497,Solo,Internet Banking,< 1 Tahun,36,Laki-laki,Menikah,1,Sarjana,1,1,0,1,1,1,5,591,474922138
G21260,Surabaya,Telemarketing,< 1 Tahun,51,Laki-laki,Menikah,2,Sarjana,1,1,1,0,1,1,5,507,345401338
G22697,Surabaya,Internet Banking,< 1 Tahun,51,Laki-laki,Menikah,1,Sarjana,1,1,0,1,1,1,5,390,232034812
G19308,Bandung,Internet Banking,< 1 Tahun,58,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,1,1,1,5,773,741394249
G22465,Bandung,Cabang,< 1 Tahun,53,Laki-laki,Menikah,0,Sarjana,1,1,1,1,0,1,5,807,164694923
G27396,Surabaya,Cabang,< 1 Tahun,68,Laki-laki,Menikah,4,Sarjana,0,1,1,1,1,1,5,445,293164813
G11412,Bandung,Aplikasi Digital,< 1 Tahun,53,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,1,1,1,5,422,354450307
G22425,Bogor,Telemarketing,< 1 Tahun,55,Laki-laki,Menikah,3,Sarjana,1,1,0,1,1,1,5,757,308089469
G21099,Solo,Internet Banking,< 1 Tahun,54,Perempuan,Menikah,0,Sarjana,1,1,0,1,1,1,5,686,291042176
G02749,Bandung,Cabang,< 1 Tahun,56,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,0,1,5,740,625447124
G11529,Bandung,Aplikasi Digital,< 1 Tahun,52,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,0,1,1,5,368,576881318
G19081,Jogja,Aplikasi Digital,< 1 Tahun,52,Laki-laki,Menikah,3,Sarjana,1,1,1,1,0,1,5,557,251361434
G20071,Bandung,Cabang,< 1 Tahun,54,Laki-laki,Menikah,1,Sarjana,1,1,1,1,0,1,5,394,651275813
G15021,Jakarta,Aplikasi Digital,< 1 Tahun,59,Laki-laki,Cerai,4,Sarjana,1,1,1,1,0,1,5,816,477545263
G21661,Jakarta,Aplikasi Digital,< 1 Tahun,53,Perempuan,Menikah,1,Sarjana,1,1,0,1,1,1,5,588,197285723
G21422,Jakarta,Telemarketing,< 1 Tahun,51,Perempuan,Menikah,0,Sarjana,1,1,1,1,0,1,5,784,634557326
G21251,Jakarta,Telemarketing,< 1 Tahun,55,Laki-laki,Menikah,1,Sarjana,1,1,0,1,1,1,5,639,207851625
G20833,Bandung,Internet Banking,< 1 Tahun,54,Laki-laki,Menikah,1,Sarjana,1,1,1,1,0,1,5,842,51720302
G10516,Jogja,Telemarketing,< 1 Tahun,52,Laki-laki,Belum Menikah,0,Sarjana,1,1,0,1,1,1,5,735,583818265
G22854,Jakarta,Telemarketing,< 1 Tahun,51,Laki-laki,Menikah,4,Sarjana,1,1,0,1,1,1,5,430,477781613
G02693,Bandung,Aplikasi Digital,< 1 Tahun,59,Perempuan,Cerai,0,Sarjana,1,1,1,1,0,1,5,455,127509097
G04607,Bandung,Aplikasi Digital,< 1 Tahun,56,Perempuan,Cerai,0,Sarjana,1,1,1,1,0,1,5,356,165343705
G02707,Bandung,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,1,0,1,1,1,5,127,254462044
G03001,Surabaya,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,1,1,1,1,0,5,88,502658666
G03068,Jogja,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,1,1,1,0,1,5,233,268932144
G03660,Surabaya,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,0,Sarjana,1,0,1,1,1,1,5,348,734750260
G00821,Solo,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,0,1,1,1,1,5,120,527142298
G00111,Jakarta,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,1,1,1,0,5,237,57566363
G07600,Jakarta,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,3,Sarjana,1,1,1,1,0,1,5,318,82257583
G07930,Surabaya,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,2,Sarjana,1,0,1,1,1,1,5,144,244128936
G09276,Surabaya,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,3,Sarjana,1,1,1,1,0,1,5,408,481160920
G10761,Bandung,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,0,1,1,1,5,451,148557008
G11801,Jakarta,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,1,Sarjana,1,1,1,1,1,0,5,412,572178214
G17226,Bogor,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,1,1,5,255,388409743
G17090,Bandung,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,1,1,1,0,1,5,413,469523106
G17922,Jogja,Telemarketing,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,1,0,1,1,1,5,175,201553239
G20091,Bogor,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,1,1,0,1,5,159,815067874
G21336,Jogja,Internet Banking,< 1 Tahun,,Perempuan,Janda/Duda,2,Sarjana,1,1,1,1,0,1,5,477,763784155
G21073,Jogja,Telemarketing,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,1,1,0,1,5,104,394687772
G21832,Surabaya,Internet Banking,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,1,0,1,5,349,816162689
G22320,Bandung,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,1,0,1,1,5,491,218104419
G23762,Bandung,Cabang,< 1 Tahun,,Perempuan,Janda/Duda,1,Sarjana,1,1,1,1,0,1,5,201,628381982
G26320,Jogja,Cabang,< 1 Tahun,,Laki-laki,Janda/Duda,0,Sarjana,1,1,1,1,0,1,5,302,788760665
G26030,Surabaya,Aplikasi Digital,< 1 Tahun,,Laki-laki,Janda/Duda,3,Sarjana,1,1,0,1,1,1,5,357,250023589
G03089,Bandung,Cabang,< 1 Tahun,33,Laki-laki,Menikah,4,Sarjana,1,1,1,1,1,1,6,498,809621802
G18659,Bandung,Aplikasi Digital,< 1 Tahun,49,Laki-laki,Menikah,1,Sarjana,1,1,1,1,1,1,6,372,161026222
G22457,Surabaya,Telemarketing,< 1 Tahun,29,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,1,1,6,123,727436089
G18813,Bandung,Aplikasi Digital,< 1 Tahun,29,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,1,1,6,247,775036984
G19394,Bandung,Telemarketing,< 1 Tahun,54,Laki-laki,Menikah,4,Sarjana,1,1,1,1,1,1,6,701,531717292
G13944,Jakarta,Telemarketing,< 1 Tahun,49,Perempuan,Menikah,1,Sarjana,1,1,1,1,1,1,6,373,353793235
G15484,Jakarta,Aplikasi Digital,< 1 Tahun,22,Laki-laki,Belum Menikah,0,Sarjana,1,1,1,1,1,1,6,294,217246703
G11273,Jakarta,Telemarketing,< 1 Tahun,31,Perempuan,Belum Menikah,0,Sarjana,1,1,1,1,1,1,6,100,510543648
